sep=;
Producer:;Pfeiffer-Vacuum
Device:;TPG362
Product number:;PT G28 290
Serial number:;44990208
Firmware version:;010500
Filename:;FRN_20240905_141606.csv
Date: / time:;2024-09-05  14:16
Sampletime:;10s
Channel 1:;TPR/PCR
Channel 2:;PKR
Date;Time;Channel 1 [mBar];Channel 2 [mBar];
2024-09-05;15:16:26;5,0119e-04;3,6726e-05;
2024-09-05;15:16:36;5,0119e-04;3,6766e-05;
2024-09-05;15:16:46;5,0119e-04;3,6803e-05;
2024-09-05;15:16:56;5,0119e-04;3,6851e-05;
2024-09-05;15:17:06;5,0119e-04;3,6894e-05;
2024-09-05;15:17:16;5,0119e-04;3,6943e-05;
2024-09-05;15:17:26;5,0119e-04;3,7003e-05;
2024-09-05;15:17:36;5,0119e-04;3,7057e-05;
2024-09-05;15:17:46;5,0119e-04;3,7114e-05;
2024-09-05;15:17:56;5,0119e-04;3,7178e-05;
2024-09-05;15:18:06;5,0119e-04;3,7244e-05;
2024-09-05;15:18:16;5,0119e-04;3,7308e-05;
2024-09-05;15:18:26;5,0119e-04;3,7373e-05;
2024-09-05;15:18:36;5,0119e-04;3,7449e-05;
2024-09-05;15:18:46;5,0119e-04;3,7516e-05;
2024-09-05;15:18:56;5,0119e-04;3,7593e-05;
2024-09-05;15:19:06;5,0119e-04;3,7820e-05;
2024-09-05;15:19:16;5,0119e-04;3,7937e-05;
2024-09-05;15:19:26;5,0119e-04;3,8015e-05;
2024-09-05;15:19:36;5,0119e-04;3,8099e-05;
2024-09-05;15:19:46;5,0119e-04;3,8185e-05;
2024-09-05;15:19:56;5,0119e-04;3,8285e-05;
2024-09-05;15:20:06;5,0119e-04;3,8371e-05;
2024-09-05;15:20:16;5,0119e-04;3,9179e-05;
2024-09-05;15:20:26;4,8099e-02;4,2667e-02;
2024-09-05;15:20:36;5,3330e-02;4,7232e-02;
2024-09-05;15:20:46;3,6392e-02;3,2634e-02;
2024-09-05;15:20:56;2,4219e-02;2,2351e-02;
2024-09-05;15:21:06;1,5856e-02;1,5235e-02;
2024-09-05;15:21:16;1,0330e-02;1,0400e-02;
2024-09-05;15:21:26;8,7835e-03;9,2142e-03;
2024-09-05;15:21:36;6,6321e-02;5,9428e-02;
2024-09-05;15:21:46;1,6172e-01;1,6974e-01;
2024-09-05;15:21:56;1,1998e+00;1,0515e+00;
2024-09-05;15:22:06;2,1575e+00;1,8377e+00;
2024-09-05;15:22:16;3,1851e+00;2,6117e+00;
2024-09-05;15:22:26;4,0883e+00;3,3891e+00;
2024-09-05;15:22:36;5,1992e+00;4,1779e+00;
2024-09-05;15:22:46;5,8345e+00;4,7481e+00;
2024-09-05;15:22:56;5,8180e+00;4,7296e+00;
2024-09-05;15:23:06;4,0158e+02;1,0144e+03;
2024-09-05;15:23:16;8,5621e+02;1,0144e+03;
2024-09-05;15:23:26;9,7533e+02;1,0144e+03;
2024-09-05;15:23:36;9,7526e+02;1,0144e+03;
2024-09-05;15:23:46;9,7542e+02;1,0144e+03;
2024-09-05;15:23:56;9,7529e+02;1,0144e+03;
2024-09-05;15:24:06;9,7534e+02;1,0144e+03;
