sep=;
Hersteller:;Pfeiffer-Vacuum
Gerät:;TPG362
Artikelnummer:;PT G28 290
Seriennummer:;44992684
Firmware Version:;010500
Dateiname:;OIPT LA_20250319_061831.csv
Datum / Zeit:;2025-03-19  06:18
Messintervall:;10s
Sensor 1:;PKR
Sensor 2:;KEIN SENSOR
Datum;Zeit;Sensor 1 [mBar];Sensor 2 [mBar];
2025-03-19;07:01:55;4,6903e-08;0,0000e+00;
2025-03-19;07:02:05;4,6831e-08;0,0000e+00;
2025-03-19;07:02:15;4,6625e-08;0,0000e+00;
2025-03-19;07:02:25;4,6482e-08;0,0000e+00;
2025-03-19;07:02:35;4,6393e-08;0,0000e+00;
2025-03-19;07:02:45;4,6261e-08;0,0000e+00;
2025-03-19;07:02:55;4,6143e-08;0,0000e+00;
2025-03-19;07:03:05;4,5993e-08;0,0000e+00;
2025-03-19;07:03:15;4,5924e-08;0,0000e+00;
2025-03-19;07:03:25;4,5750e-08;0,0000e+00;
2025-03-19;07:03:35;4,5662e-08;0,0000e+00;
2025-03-19;07:03:45;4,5573e-08;0,0000e+00;
2025-03-19;07:03:55;4,5435e-08;0,0000e+00;
2025-03-19;07:04:05;4,5334e-08;0,0000e+00;
2025-03-19;07:04:15;4,5204e-08;0,0000e+00;
2025-03-19;07:04:25;4,5102e-08;0,0000e+00;
2025-03-19;07:04:35;4,4987e-08;0,0000e+00;
2025-03-19;07:04:45;4,4886e-08;0,0000e+00;
2025-03-19;07:04:55;4,4805e-08;0,0000e+00;
2025-03-19;07:05:05;4,4673e-08;0,0000e+00;
2025-03-19;07:05:15;4,4593e-08;0,0000e+00;
2025-03-19;07:05:25;4,4502e-08;0,0000e+00;
2025-03-19;07:05:35;4,4440e-08;0,0000e+00;
2025-03-19;07:05:45;4,4367e-08;0,0000e+00;
2025-03-19;07:05:55;4,4250e-08;0,0000e+00;
2025-03-19;07:06:05;4,4153e-08;0,0000e+00;
2025-03-19;07:06:15;4,4089e-08;0,0000e+00;
2025-03-19;07:06:25;4,3988e-08;0,0000e+00;
2025-03-19;07:06:35;4,3905e-08;0,0000e+00;
2025-03-19;07:06:45;4,3841e-08;0,0000e+00;
2025-03-19;07:06:55;4,3720e-08;0,0000e+00;
2025-03-19;07:07:05;4,3698e-08;0,0000e+00;
2025-03-19;07:07:15;4,3566e-08;0,0000e+00;
2025-03-19;07:07:25;4,3549e-08;0,0000e+00;
2025-03-19;07:07:35;4,3452e-08;0,0000e+00;
2025-03-19;07:07:45;4,3387e-08;0,0000e+00;
2025-03-19;07:07:55;4,3280e-08;0,0000e+00;
